"BGS,  DFID,  DPHE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S98_01819,CHAR-30,20/07/98,24.3040,88.7380,HTW,18,Rajshahi,Rajshahi,Charghat,Charghat,Charghat,58125,S98_01819,< 0.5,4,0.02,0.098,< 0.05,138,0.02,0.01,2.9,0.51,< 0.5,< 0.05,< 1,< 0.01,< 0.01,0.011,0.23,0.03,< 0.01,399,< 0.005,0.0298,2,0.006,10.8,< 0.005,30.5,1.28,0.9,26.8,< 0.01,< 0.02,3.5,< 0.004,< 0.2,< 0.2,0.2,< 0.005,7.1,< 0.02,17.9,< 0.01,1.2,1.8,0.371,< 0.005,0.02,< 0.005,3.63,< 0.2,0.088,< 0.008,13
S98_01820,NAT-31,20/07/98,24.4140,89.9880,HTW,27,Rajshahi,Natore,Natore Sadar,Natore,Natore,56963,S98_01820,5.5,4,0.02,0.142,< 0.05,177,0.03,< 0.005,120,0.6,< 0.5,< 0.05,1,< 0.01,< 0.01,0.022,0.46,0.032,< 0.01,392,< 0.005,0.0473,3.4,0.006,8,< 0.005,42.6,0.766,0.5,38.5,< 0.01,< 0.02,5.5,< 0.004,< 0.2,< 0.2,0.21,< 0.005,1.2,0.04,17,0.02,0.8,11.9,0.831,< 0.005,< 0.01,< 0.005,7.16,0.3,0.035,< 0.008,
S98_01821,SING-32,20/07/98,24.5060,89.1430,TARA,18,Rajshahi,Natore,Singra,Singra,Singra,56991,S98_01821,< 0.5,3,0.02,0.09,< 0.05,159,0.03,0.008,126,0.89,< 0.5,< 0.05,1,< 0.01,< 0.01,0.015,0.15,0.037,< 0.01,361,< 0.005,0.0316,1,0.005,10.7,< 0.005,40.8,0.846,0.2,55,< 0.01,< 0.02,4.7,< 0.004,< 0.2,< 0.2,0.16,< 0.005,0.2,0.03,18,< 0.01,1.1,31,0.361,< 0.005,< 0.01,< 0.005,7.27,0.9,0.079,< 0.008,19
S98_01822,LAL-33,20/07/98,24.1790,88.9660,HTW,27,Rajshahi,Natore,Lalpur,Lalpur,Lalpur,56944,S98_01822,0.9,5,0.02,0.039,< 0.05,109,0.11,0.014,22.2,0.78,< 0.5,< 0.05,< 1,< 0.01,0.01,< 0.006,0.48,0.036,< 0.01,410,< 0.005,0.0179,1.3,0.006,8.9,< 0.005,30.2,0.492,0.8,22.9,< 0.01,< 0.02,3.9,< 0.004,< 0.2,< 0.2,0.72,< 0.005,< 0.1,0.04,15.7,< 0.01,0.9,2.4,0.291,< 0.005,< 0.01,< 0.005,0.59,2.3,0.104,< 0.008,30
S98_01823,ROYG-34,27/07/98,24.5070,89.5260,HTW,15,Rajshahi,Sirajganj,Raiganj,Roygong,Roygong,58861,S98_01823,12.3,4,0.01,0.026,< 0.05,22.6,0.06,0.009,4,0.13,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.73,3.99,< 0.01,143,< 0.005,0.0013,1,0.007,2.7,< 0.005,10.7,0.648,0.7,10.3,< 0.01,0.15,1,0.014,< 0.2,< 0.2,0.39,< 0.005,2.6,< 0.02,21.6,< 0.01,1.2,1,0.0687,< 0.005,< 0.01,< 0.005,< 0.01,< 0.2,0.006,< 0.008,
S98_01824,SIRA-35,28/07/98,24.4630,89.7080,HTW,18,Rajshahi,Sirajganj,Sirajganj Sadar,Sirjgong,Sirjgong,58878,S98_01824,15.4,4,0.01,0.031,< 0.05,21.6,0.06,0.006,3.1,0.19,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.15,0.397,< 0.01,135,< 0.005,0.0024,3.1,< 0.005,1.9,< 0.005,11.5,0.626,0.8,4.6,< 0.01,< 0.02,1,< 0.004,< 0.2,< 0.2,0.88,< 0.005,1.7,< 0.02,15.5,< 0.01,1.5,0.2,0.0781,< 0.005,< 0.01,< 0.005,0.01,< 0.2,0.008,< 0.008,8
S98_01825,CHAT-36,20/07/98,24.1500,89.2610,HTW,18,Rajshahi,Pabna,Chatmohar,Chatmohur,Chatmohur,57622,S98_01825,3.5,3,0.03,0.061,< 0.05,108,0.03,0.01,7.5,0.59,< 0.5,< 0.05,< 1,< 0.01,< 0.01,0.01,0.4,0.044,0.01,626,< 0.005,0.0505,1.6,0.006,11.3,< 0.005,38,0.602,0.5,40.8,< 0.01,< 0.02,3.1,< 0.004,< 0.2,< 0.2,0.17,< 0.005,< 0.1,< 0.02,19.4,< 0.01,1.4,4.7,0.526,< 0.005,< 0.01,< 0.005,7.93,1.7,0.14,0.015,
S98_01826,PAB-37,19/07/98,24.0060,89.2350,HTW,30,Rajshahi,Pabna,Pabna Sadar,Pabna,Pabna,57655,S98_01826,1.9,4,0.03,0.079,< 0.05,114,0.02,0.005,5,1.56,< 0.5,< 0.05,< 1,< 0.01,< 0.01,0.008,0.5,0.151,< 0.01,399,< 0.005,0.0512,2.8,< 0.005,15.4,< 0.005,25.6,0.493,0.6,38.1,< 0.01,< 0.02,8.9,< 0.004,< 0.2,< 0.2,0.17,< 0.005,0.1,0.31,16.8,0.01,1.4,0.6,0.447,< 0.005,< 0.01,< 0.005,8.38,2.6,0.038,< 0.008,6
S98_01827,SUJA-38,19/07/98,23.9400,89.4080,HTW,18,Rajshahi,Pabna,Sujanagar,Sujanager,Sujanager,57683,S98_01827,1.1,5,0.03,0.056,< 0.05,91.5,0.07,0.014,7.9,1.45,< 0.5,< 0.05,< 1,0.01,0.01,< 0.006,0.39,0.061,< 0.01,475,< 0.005,0.197,1.2,0.005,3.4,< 0.005,35,1.5,0.4,39.8,< 0.01,< 0.02,3,< 0.004,< 0.2,0.3,0.19,< 0.005,0.1,< 0.02,20.3,< 0.01,1.3,< 0.2,0.391,< 0.005,< 0.01,< 0.005,5.27,2.6,0.12,0.008,23
S98_01828,NAGIR-39,28/07/98,23.9510,89.6500,HTW,20,Rajshahi,Pabna,Bera,Nagierbari,Nagierbari,57616,S98_01828,28.7,4,0.02,0.123,< 0.05,127,0.09,0.009,56.9,0.39,< 0.5,< 0.05,< 1,< 0.01,< 0.01,0.02,0.26,3.75,< 0.01,409,< 0.005,0.0277,2.3,< 0.005,4,< 0.005,32.5,2.21,1.8,17,< 0.01,< 0.02,3.5,0.094,0.7,< 0.2,0.71,< 0.005,3.1,0.03,18.6,< 0.01,1.1,0.7,0.338,< 0.005,< 0.01,< 0.005,0.04,< 0.2,0.014,< 0.008,15
S98_01829,JA-40,19/07/98,25.1560,89.7510,HTW,27,Dhaka,Jamalpur,Dewanganj,Chukaibari,Batheshasaria,33915,S98_01829,82.5,12,0.02,0.14,< 0.05,37,< 0.02,0.017,26.6,0.21,< 0.5,0.16,< 1,< 0.01,< 0.01,0.017,0.3,15.8,0.01,164,< 0.005,0.0017,2.4,0.013,4.6,< 0.005,12.5,0.322,0.8,8.7,0.01,2.51,1.7,< 0.004,< 0.2,1.6,0.38,< 0.005,2.9,< 0.02,26.5,0.01,2.5,< 0.2,0.169,< 0.005,< 0.01,< 0.005,< 0.01,< 0.2,0.017,< 0.008,
S98_01830,PRAG-40,19/07/98,24.0050,88.7650,TARA,113,Khulna,Kushtia,Daulatpur (Ku),Pragpur,Pragpur,45039,S98_01830,8.4,3,0.04,0.211,< 0.05,118,< 0.02,0.006,27.1,0.33,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.34,0.015,< 0.01,417,< 0.005,0.0515,4.6,< 0.005,2.6,< 0.005,36.4,0.414,0.2,22.6,< 0.01,< 0.02,3.3,< 0.004,< 0.2,< 0.2,0.21,< 0.005,1.1,< 0.02,11.1,< 0.01,1.1,13.8,0.364,< 0.005,< 0.01,< 0.005,8.12,< 0.2,0.011,< 0.008,15
S98_01831,HYM-41,18/07/98,25.1170,90.3350,,27,Dhaka,Mymensingh,Haluaghat, Haluagher,Haluaghatthana Compn,36124,S98_01831,34.9,4,< 0.01,0.059,< 0.05,19,< 0.02,0.008,2.3,0.12,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.5,0.791,< 0.01,177,< 0.005,0.0153,1.3,0.009,3.8,< 0.005,8.28,0.526,1.7,27.9,< 0.01,< 0.02,0.8,< 0.004,< 0.2,0.4,0.48,< 0.005,2.2,0.03,18.4,< 0.01,1.3,< 0.2,0.114,< 0.005,< 0.01,< 0.005,0.01,< 0.2,0.009,< 0.008,21
S98_01832,VHAR-41,19/07/98,24.0190,88.9920,HTW,,Khulna,Kushtia,Bheramara,Vharamara,Vharamara,45015,S98_01832,0.8,4,0.02,0.13,< 0.05,125,0.04,0.006,9.8,0.59,< 0.5,< 0.05,< 1,< 0.01,< 0.01,0.017,0.3,0.017,< 0.01,379,< 0.005,0.031,1.9,0.007,10.1,< 0.005,31.5,0.614,1.5,18.6,< 0.01,< 0.02,3.5,< 0.004,< 0.2,< 0.2,0.18,< 0.005,0.3,0.03,18.4,< 0.01,1.1,14.6,0.338,< 0.005,< 0.01,< 0.005,0.51,< 0.2,0.072,< 0.008,9
S98_01833,KUST-42,19/07/98,23.9090,89.1280,HTW,49,Khulna,Kushtia,Kushtia Sadar,Kushtia,Kushtia,45079,S98_01833,< 0.5,4,0.02,0.046,< 0.05,102,0.07,0.008,2.6,0.64,< 0.5,< 0.05,< 1,< 0.01,< 0.01,0.009,0.29,0.953,< 0.01,342,< 0.005,0.0082,1.3,< 0.005,10,< 0.005,21.3,0.625,1.8,17.4,< 0.01,0.19,3.4,0.044,< 0.2,< 0.2,0.19,< 0.005,< 0.1,0.03,18.6,< 0.01,3.2,< 0.2,0.255,< 0.005,< 0.01,< 0.005,0.28,0.5,0.021,< 0.008,
S98_01834,SHER-42/A,18/07/98,25.0180,90.0120,HTW,36,Rajshahi,Bogra,Sherpur,Sherpur,,51088,S98_01834,27.8,4,0.02,0.127,< 0.05,41,< 0.02,0.014,45.9,0.38,< 0.5,< 0.05,< 1,< 0.01,< 0.01,0.015,0.24,19.6,< 0.01,242,< 0.005,0.0152,2.3,0.009,2.8,< 0.005,22.6,2.27,0.7,29.8,0.01,0.62,2.2,< 0.004,< 0.2,1.4,0.47,< 0.005,1.8,0.03,23.2,0.02,0.7,0.5,0.181,< 0.005,< 0.01,< 0.005,0.01,< 0.2,0.045,< 0.008,16
S98_01835,MEHER-43,19/07/98,23.7610,88.6320,HTW,27,Khulna,Meherpur,Meherpur Sadar,Meherpur,Meherpur,45787,S98_01835,17.7,3,0.04,0.126,< 0.05,106,< 0.02,< 0.005,22.6,0.31,< 0.5,< 0.05,< 1,< 0.01,< 0.01,0.011,0.13,0.007,< 0.01,371,< 0.005,0.0027,3.6,< 0.005,3.2,< 0.005,20.7,0.232,0.6,39.9,< 0.01,< 0.02,3,< 0.004,< 0.2,< 0.2,0.14,< 0.005,1,0.02,10.8,< 0.01,1.9,19.3,0.302,< 0.005,< 0.01,< 0.005,0.75,< 0.2,0.013,< 0.008,
S98_01836,JAM-43,20/07/98,24.7580,89.8350,HTW,20,Dhaka,Jamalpur,Sarishabari,Sharishabari,Sharishabari,33985,S98_01836,1.4,6,0.02,0.051,< 0.05,36.1,0.03,0.024,41.3,0.61,< 0.5,< 0.05,< 1,< 0.01,< 0.01,0.007,0.22,0.316,< 0.01,178,< 0.005,0.04,2.3,0.015,2.3,< 0.005,17.2,0.383,< 0.1,30.1,< 0.01,< 0.02,2.1,< 0.004,2.6,< 0.2,0.59,< 0.005,0.4,0.03,13.4,< 0.01,0.7,11.5,0.139,< 0.005,< 0.01,< 0.005,0.59,0.4,0.039,< 0.008,40
S98_01837,DAR-44,19/07/98,23.5290,88.8100,HTW,18,Khulna,Chuadanga,Chuadanga Sadar,Darsana,Darsana,41823,S98_01837,5.7,7,0.1,0.363,< 0.05,183,0.04,0.029,202,0.53,< 0.5,< 0.05,2,< 0.01,< 0.01,< 0.006,0.03,0.02,< 0.01,531,< 0.005,0.0521,74.4,0.024,10.4,< 0.005,39.4,0.042,7.8,110,0.02,< 0.02,4.9,< 0.004,41,0.4,1.18,< 0.005,9.2,0.16,15.5,< 0.01,1,47.6,0.456,< 0.005,< 0.01,< 0.005,3.35,7.2,0.014,< 0.008,8
S98_01838,MYM-44,17/07/98,24.7480,90.4060,DTW,107,Dhaka,Mymensingh,Mymensingh Sadar,Sadar,Bagmera,36152,S98_01838,4.2,3,< 0.01,0.063,< 0.05,28.4,< 0.02,0.007,1.5,0.16,< 0.5,< 0.05,1,< 0.01,< 0.01,< 0.006,0.42,0.074,< 0.01,219,< 0.005,0.0636,1.4,0.006,6.6,< 0.005,12.3,0.148,0.1,27.4,< 0.01,< 0.02,1.1,< 0.004,< 0.2,< 0.2,0.25,< 0.005,1.8,< 0.02,23.4,< 0.01,1.4,1.8,0.154,< 0.005,< 0.01,< 0.005,0.66,< 0.2,0.013,< 0.008,3
S98_01839,JHIN-45,18/07/98,23.5470,89.1650,,122,Khulna,Jhenaidah,Jhenaidah Sadar,Jhinaidha,Jhinaidha,44419,S98_01839,35.6,29,0.02,0.106,< 0.05,69.5,0.04,0.017,4,0.29,0.5,< 0.05,2,< 0.01,< 0.01,< 0.006,0.27,0.914,< 0.01,296,< 0.005,0.0034,2.3,0.009,5.1,< 0.005,14.3,0.428,1,7.7,0.01,< 0.02,2.5,< 0.004,< 0.2,0.5,0.7,< 0.005,1.5,0.06,15.5,0.01,1.3,< 0.2,0.18,< 0.005,< 0.01,< 0.005,0.09,< 0.2,0.02,< 0.008,13
S98_01840,NET-45,17/07/98,24.8660,90.7220,HTW,65,Dhaka,Netrokona,Netrokona Sadar,Sadar,Netrokona,37274,S98_01840,1.8,3,< 0.01,0.012,< 0.05,37.8,< 0.02,0.009,39.8,0.15,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.38,0.697,< 0.01,222,< 0.005,0.26,1.1,0.007,1,< 0.005,13.5,0.03,0.7,41.3,< 0.01,< 0.02,1.5,< 0.004,< 0.2,0.3,0.29,< 0.005,0.2,0.06,16.4,< 0.01,0.6,< 0.2,0.195,< 0.005,< 0.01,< 0.005,0.97,2.1,0.01,< 0.008,34
S98_01841,MAGU-46,15/07/98,23.4880,89.4290,HTW,21,Khulna,Magura,Magura Sadar,Magura,Magura,45557,S98_01841,17,4,0.03,0.192,< 0.05,132,0.02,0.01,27.3,0.59,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.33,0.494,< 0.01,457,< 0.005,0.0013,3.1,0.009,6.5,< 0.005,40.2,0.214,1.5,26.1,< 0.01,0.64,3.9,< 0.004,< 0.2,< 0.2,0.25,< 0.005,6.9,0.16,15.8,< 0.01,1.4,< 0.2,0.551,< 0.005,< 0.01,< 0.005,0.02,< 0.2,0.007,< 0.008,
S98_01842,KISH-46,18/07/98,24.4440,90.7730,DTW,118,Dhaka,Kishoreganj,Kishoreganj Sadar,Goital,Kishorgorj,34849,S98_01842,13.6,5,0.02,0.056,< 0.05,22.9,< 0.02,0.009,2.4,0.28,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.3,0.749,< 0.01,214,< 0.005,0.0008,1.8,0.007,3.5,< 0.005,11.1,0.243,0.6,32.7,< 0.01,< 0.02,1,< 0.004,< 0.2,0.3,0.55,< 0.005,1.5,0.02,20.9,0.02,1.1,< 0.2,0.15,< 0.005,< 0.01,< 0.005,0.05,< 0.2,0.007,< 0.008,59
S98_01843,JES-47,18/07/98,23.1670,89.2190,DTW,133,Khulna,Jessore,Jessore Sadar,Jessore,Jessore,44147,S98_01843,40.8,4,0.03,0.128,< 0.05,113,< 0.02,0.013,77.3,0.38,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.24,0.403,< 0.01,392,< 0.005,0.014,3.4,0.01,16,< 0.005,30.6,0.408,0.7,71.4,< 0.01,0.87,3.2,0.004,< 0.2,< 0.2,0.21,< 0.005,4.2,0.03,17.6,< 0.01,0.6,< 0.2,0.398,< 0.005,< 0.01,< 0.005,1.6,< 0.2,0.012,< 0.008,4
S98_01844,MYM-47,17/07/98,24.4540,90.5400,HTW,,Dhaka,Mymensingh,Gafargaon,Saltia,Sulhasia,36122,S98_01844,2.7,3,< 0.01,0.025,< 0.05,33.4,< 0.02,0.012,2.7,0.11,< 0.5,< 0.05,< 1,< 0.01,< 0.01,0.007,0.44,0.192,< 0.01,234,< 0.005,0.063,1.1,0.006,0.6,< 0.005,11.9,0.036,< 0.1,28.6,0.02,< 0.02,1.5,< 0.004,< 0.2,0.3,0.39,< 0.005,0.2,0.02,22,< 0.01,1.1,3.3,0.2,< 0.005,< 0.01,< 0.005,0.4,5.7,0.016,< 0.008,9
S98_01845,NAR-48,18/07/98,23.1730,89.5130,HTW,24,Khulna,Narail,Narail Sadar,Narail,Narail,46576,S98_01845,3.4,5,0.12,0.056,< 0.05,63.6,< 0.02,0.007,260,0.55,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.54,0.02,0.01,783,< 0.005,0.13,1.7,< 0.005,15.2,< 0.005,28.4,0.665,1.5,342,< 0.01,< 0.02,4,< 0.004,< 0.2,0.2,0.34,< 0.005,0.1,0.15,15.1,< 0.01,1.6,< 0.2,0.34,< 0.005,< 0.01,< 0.005,7.89,0.4,0.019,< 0.008,
S98_01846,KISH-48,18/07/98,24.0470,90.9730,HTW,20,Dhaka,Kishoreganj,Bhairab,Bhairab,Bhairab Rly St,34811,S98_01846,120,5,0.02,0.075,< 0.05,69.8,< 0.02,0.009,2.7,0.4,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.19,2.61,< 0.01,284,< 0.005,0.008,4,0.007,2.3,< 0.005,16.7,1.24,2.5,14.5,< 0.01,< 0.02,2.2,< 0.004,< 0.2,0.6,0.5,< 0.005,1.2,0.03,16.8,< 0.01,0.7,2.7,0.253,< 0.005,< 0.01,< 0.005,0.43,< 0.2,0.012,< 0.008,28
S98_01847,GODKHA-49,15/07/98,23.0590,89.0770,HTW,24,Khulna,Jessore,Jhikargachha,Godkhali,Godkhali,44123,S98_01847,32.5,3,0.01,0.143,< 0.05,95.2,0.04,< 0.005,16.1,0.31,< 0.5,< 0.05,1,< 0.01,< 0.01,0.03,0.15,1.13,< 0.01,370,< 0.005,0.0009,3.5,< 0.005,1.3,< 0.005,19.9,0.332,0.5,7.7,< 0.01,< 0.02,3.2,< 0.004,< 0.2,0.3,0.24,< 0.005,1.3,0.03,11.2,< 0.01,2,2.5,0.295,< 0.005,< 0.01,< 0.005,< 0.01,< 0.2,0.007,< 0.008,9
S98_01848,TA-49,20/07/98,24.6050,90.0240,HTW,34,Dhaka,Tangail,Madhupur,Madhupur,Madhupur,39357,S98_01848,7.5,11,< 0.01,0.011,< 0.05,16.6,< 0.02,0.031,1.3,0.43,< 0.5,< 0.05,2,< 0.01,< 0.01,< 0.006,0.23,2.84,< 0.01,118,< 0.005,0.0019,1.3,0.01,2.9,< 0.005,4.8,0.372,< 0.1,16.3,0.01,< 0.02,1.3,< 0.004,< 0.2,0.2,1,< 0.005,0.2,< 0.02,28.4,< 0.01,1,0.8,0.131,< 0.005,< 0.01,< 0.005,0.03,1.2,0.066,< 0.008,50
S98_01849,KHUL-50,15/07/98,22.8120,89.5610,DTW,274,Khulna,Khulna,Khulna Sadar,Khulna,Khulna,44751,S98_01849,< 0.5,6,0.16,0.137,< 0.05,44.6,< 0.02,0.02,168,0.13,< 0.5,0.1,1,< 0.01,< 0.01,< 0.006,0.14,0.028,< 0.01,417,< 0.005,0.082,5.4,0.017,6.9,< 0.005,27.6,0.025,0.3,162,< 0.01,< 0.02,1.3,< 0.004,0.6,< 0.2,0.18,< 0.005,3.5,< 0.02,12.1,< 0.01,0.7,< 0.2,0.417,< 0.005,< 0.01,< 0.005,0.01,< 0.2,0.012,< 0.008,3
S98_01850,TA-50,20/07/98,24.2400,89.9090,HTW,27,Dhaka,Tangail,Tangail Sadar,Sadar,Bepari Para,39395,S98_01850,77.6,11,0.02,0.102,< 0.05,48.1,< 0.02,0.027,20,0.25,< 0.5,< 0.05,1,0.01,< 0.01,0.012,0.27,7.33,0.01,192,< 0.005,0.015,3,0.016,1.9,< 0.005,12.2,1.64,1.8,9.1,0.01,< 0.02,1.9,0.007,< 0.2,1.5,0.52,< 0.005,3.7,0.04,19.1,< 0.01,1.9,< 0.2,0.175,< 0.005,< 0.01,< 0.005,0.02,< 0.2,0.015,< 0.008,28
S98_01851,SATKHR-51,17/07/98,22.7180,89.0700,DTW,183,Khulna,Satkhira,Satkhira Sadar,Satkhira,Satkhira,48782,S98_01851,11.8,2,0.05,0.597,< 0.05,166,< 0.02,< 0.005,311,0.55,< 0.5,0.07,1,< 0.01,< 0.01,0.093,0.08,0.019,< 0.01,408,< 0.005,0.0041,13.8,0.013,8.7,< 0.005,46.2,0.103,1,142,< 0.01,< 0.02,4.9,< 0.004,1.1,< 0.2,0.09,< 0.005,5.9,< 0.02,15.4,< 0.01,0.7,10.1,0.52,< 0.005,< 0.01,< 0.005,< 0.01,< 0.2,0.01,< 0.008,3
S98_01852,TA-51,20/07/98,24.1080,90.0760,HTW,27,Dhaka,Tangail,Mirzapur,Baithgram,Gurail,39366,S98_01852,16.8,15,0.03,0.09,< 0.05,32.3,< 0.02,0.025,5.8,0.14,< 0.5,0.06,2,< 0.01,< 0.01,< 0.006,0.4,4.43,< 0.01,178,< 0.005,0.0037,2.4,0.017,4.9,< 0.005,15.1,0.874,0.5,12.6,0.01,< 0.02,3.5,< 0.004,< 0.2,0.6,0.48,< 0.005,3,0.02,20.3,< 0.01,2.1,12.8,0.123,< 0.005,< 0.01,< 0.005,0.02,< 0.2,0.019,< 0.008,26
S98_01853,CHAL-52,18/07/98,22.5860,89.5040,HTW,18,Khulna,Bagerhat,Bagerhat Sadar,Chalna,Chalna,40108,S98_01853,1.4,5,0.72,0.061,< 0.05,31.1,< 0.02,0.008,1160,0.25,< 0.5,0.14,< 1,< 0.01,< 0.01,< 0.006,0.21,0.094,< 0.01,642,< 0.005,0.084,15.4,0.009,17.3,< 0.005,35.9,0.035,1.2,893,< 0.01,3.37,0.9,1.35,1.1,0.4,0.19,< 0.005,4.2,< 0.02,8.22,< 0.01,0.4,< 0.2,0.373,< 0.005,< 0.01,< 0.005,< 0.01,0.2,0.008,0.01,6
S98_01854,GA-52,17/07/98,24.1970,90.4740,HTW,29,Dhaka,Gazipur,Sripur,Sreepur,Sreepur,33386,S98_01854,7.7,13,0.02,0.032,< 0.05,19.8,0.03,0.079,3.8,0.14,0.5,< 0.05,2,0.01,< 0.01,< 0.006,0.37,1.62,0.02,134,< 0.005,0.021,0.7,0.053,2.8,< 0.005,6.77,0.044,0.2,17.9,0.07,< 0.02,2,< 0.004,< 0.2,0.4,1.44,0.016,0.4,0.04,27.3,0.01,1,0.7,0.119,< 0.005,< 0.01,< 0.005,0.05,1.8,0.057,< 0.008,44
S98_01855,BAGIER-53,15/07/98,22.6630,89.7630,,38,Khulna,Bagerhat,Bagerhat Sadar,Bagierhat,Bagierhat,40108,S98_01855,8.1,14,0.09,0.145,< 0.05,128,< 0.02,0.019,134,0.33,< 0.5,< 0.05,2,< 0.01,< 0.01,< 0.006,0.08,0.086,< 0.01,281,< 0.005,0.0073,2.8,0.012,2.4,< 0.005,25.4,0.102,0.8,52.2,0.01,0.1,3.9,0.011,< 0.2,< 0.2,0.34,< 0.005,2.3,< 0.02,9.01,< 0.01,0.8,20.4,0.358,< 0.005,< 0.01,< 0.005,0.01,< 0.2,0.013,< 0.008,5
